id	tweetString	tweetWordArray	taggedLanguages
3924	@PresshDestiny jajajjaj okay you talked me into it!! I don't think it's that cold is it?	@PresshDestiny jajajjaj okay you talked me into it !! I do n't think it 's that cold is it ? 	other other lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
3925	How do you save someone that doesn't want to be saved	How do you save someone that does n't want to be saved 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
3926	Hell yea looks like I got the day off!!	Hell yea looks like I got the day off !! 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
3927	@ThatGirlYahs is cause you're not funny :p	@ThatGirlYahs is cause you 're not funny :p 	other lang1 lang1 lang1 lang1 lang1 lang1 other 
3928	@PresshDestiny any time presh (= and remember if you ever need anything I can help with just let me know	@PresshDestiny any time presh (= and remember if you ever need anything I can help with just let me know 	other lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
3929	@PresshDestiny you can do it!! Remember you got family and friends that will help you when you need it(=	@PresshDestiny you can do it !! Remember you got family and friends that will help you when you need it( = 	other lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
3930	@PresshDestiny :D smile I know you can handle it stay strong	@PresshDestiny :D smile I know you can handle it stay strong 	other other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
3931	@PresshDestiny hope you feel better presh (=	@PresshDestiny hope you feel better presh (= 	other lang1 lang1 lang1 lang1 lang1 other 
3932	About to watch line survivor!!!	About to watch line survivor !!! 	lang1 lang1 lang1 lang1 lang1 other 
3933	Now I really do believe the stock room is haunted	Now I really do believe the stock room is haunted 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
3934	I saw a figure line a shadow or ghost today at work D:	I saw a figure line a shadow or ghost today at work D: 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
3935	At least I'll be home early tonight	At least I 'll be home early tonight 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
3936	Time to go open the store -_-	Time to go open the store -_- 	lang1 lang1 lang1 lang1 lang1 lang1 other 
3937	Gotta go to the mall to pick up the store keys to open tomorrow	Gotta go to the mall to pick up the store keys to open tomorrow 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
3938	I need to go deposit my check	I need to go deposit my check 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 
3939	I am coming home at this hours and just falling asleep	I am coming home at this hours and just falling asleep 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
3940	Just one more day and then it's payday and my day ;)	Just one more day and then it 's payday and my day ;) 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
3941	Time to go to work!!!	Time to go to work !!! 	lang1 lang1 lang1 lang1 lang1 other 
3942	Lol I love @yveettt drunk calls :p	Lol I love @yveettt drunk calls :p 	lang1 lang1 lang1 other lang1 lang1 other 
3943	@ThatGirlYahs lol now I can!!!!	@ThatGirlYahs lol now I can !!!! 	other lang1 lang1 lang1 lang1 other 
3944	@ThatGirlYahs hater -_-	@ThatGirlYahs hater -_- 	other lang1 other 
3945	@ThatGirlYahs whatever!! I got shit to pay -_-	@ThatGirlYahs whatever !! I got shit to pay -_- 	other lang1 other lang1 lang1 lang1 lang1 lang1 other 
3946	@ThatGirlYahs lol then you can't sit with us!!! I'll get drunk by myself lol	@ThatGirlYahs lol then you can n't sit with us !!! I 'll get drunk by myself lol 	other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 
3947	I hope i have enough whiskey for tonight	I hope i have enough whiskey for tonight 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
3948	Woke up at 730 for a meeting at work, came home and took a nap and I just woke up feeling good as fuck	Woke up at 730 for a meeting at work , came home and took a nap and I just woke up feeling good as fuck 	lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
3949	I need to start saving money so I can get my eyes fixed	I need to start saving money so I can get my eyes fixed 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
3950	@Shels_xo noooo lol I need the hours ib got bills to pay	@Shels_xo noooo lol I need the hours ib got bills to pay 	other lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 
3951	But forreal though, I still don't even feel like going to work lol	But forreal though , I still do n't even feel like going to work lol 	lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
3952	Finally working a mid shift today !!!!	Finally working a mid shift today !!!! 	lang1 lang1 lang1 lang1 lang1 lang1 other 
3953	Bout to get my scotch game on	Bout to get my scotch game on 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 
3954	I guess that's what growing up does to you	I guess that 's what growing up does to you 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
3955	There's 4 days left in the year and it still hadn't sunk in lol	There 's 4 days left in the year and it still had n't sunk in lol 	lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
3956	All hail to the drinking man!!!!	All hail to the drinking man !!!! 	lang1 lang1 lang1 lang1 lang1 lang1 other 
3957	Motivated for no reason!!!! #thuglife	Motivated for no reason !!!! #thuglife 	lang1 lang1 lang1 lang1 other lang1 
3958	I've been lazy for too long not going to the gym and shit -_- ima start working out at home see if I stick with it better jaja	I 've been lazy for too long not going to the gym and shit -_- ima start working out at home see if I stick with it better jaja 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
3959	Id rather be out making money than doing nothing	Id rather be out making money than doing nothing 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
3960	@yveettt lol atta girl ;) take a shot for me lol	@yveettt lol atta girl ;) take a shot for me lol 	other lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 
3961	@yveettt that sucks :/ at what time do you work??	@yveettt that sucks :/ at what time do you work ?? 	other lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 other 
3962	@yveettt why not??? It's Friday!!!!	@yveettt why not ??? It 's Friday !!!! 	other lang1 lang1 other lang1 lang1 lang1 other 
3963	@yveettt are you drunk??	@yveettt are you drunk ?? 	other lang1 lang1 lang1 other 
3964	I wish I had had a girl to go chill with right now just watch movies on the couch chillin	I wish I had had a girl to go chill with right now just watch movies on the couch chillin 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
3965	@ThatGirlYahs mmmmm no that didn't count!!! Lol	@ThatGirlYahs mmmmm no that did n't count !!! Lol 	other lang1 lang1 lang1 lang1 lang1 lang1 other lang1 
3966	@ThatGirlYahs you suck!! U didn't even come down for thanksgiving break	@ThatGirlYahs you suck !! U did n't even come down for thanksgiving break 	other lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
3967	@ThatGirlYahs I can't!! I'm the opening manager and I'm working with my district manager -_-	@ThatGirlYahs I can -@Tha I 'm the opening manager and I 'm working with my district manager -_- 	other lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
3968	And is yalls turn to come down!! You never came hater!!! @ThatGirlYahs	And is yalls turn to come down !! You never came hater !!! @ThatGirlYahs 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 other other 
3969	@ThatGirlYahs ive been asking for it but they won't give it to me!!! D:	@ThatGirlYahs ive been asking for it but they wo n't give it to me !!! D: 	other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other other 
3970	@yveettt I know lol it closes at 9	@yveettt I know lol it closes at 9 	other lang1 lang1 lang1 lang1 lang1 lang1 other 
3971	@yveettt I get out at 3	@yveettt I get out at 3 	other lang1 lang1 lang1 lang1 other 
3972	@yveettt I know!!!! :/ you should come visit me lol	@yveettt I know !!!! :/ you should come visit me lol 	other lang1 lang1 other other lang1 lang1 lang1 lang1 lang1 lang1 
3973	6:01 and the registers are already open....having to open the store this early sucks	6:01 and the registers are already open .... having to open the store this early sucks 	other lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
3974	Fuck I need to wake up in about 4-5 hours so I can go open the store at 6 tomorrow	Fuck I need to wake up in about 4-5 hours so I can go open the store at 6 tomorrow 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 
3975	Ain't no such things as friends only associates	Ai n't no such things as friends only associates 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
3976	@PresshDestiny umm maybe lol	@PresshDestiny umm maybe lol 	other other lang1 lang1 
3977	@PresshDestiny you should come visit me at work :p	@PresshDestiny you should come visit me at work :p 	other lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
3978	On the bright side though, I got the day off tomorrow :D	On the bright side though , I got the day off tomorrow :D 	lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 other 
3979	Chillin in the back before I have to clock in and deal with annoying people all day lol	Chillin in the back before I have to clock in and deal with annoying people all day lol 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
3980	Lol ima get my sister some big socks for Christmas so she'll stop stealing mine	Lol ima get my sister some big socks for Christmas so she 'll stop stealing mine 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
3981	Almost done just one more thing	Almost done just one more thing 	lang1 lang1 lang1 lang1 lang1 lang1 
3982	@samsonitekilla nah dawg fuck that lol	@samsonitekilla nah dawg fuck that lol 	other lang1 lang1 lang1 lang1 lang1 
3983	And ins get my watch from fossil finally!!!!	And ins get my watch from fossil finally !!!! 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
3984	On the plus side today is payday	On the plus side today is payday 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 
3985	Just woke up and I need to get ready for work lol I over slept	Just woke up and I need to get ready for work lol I over slept 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
3986	Everything that kills me makes me feel alive	Everything that kills me makes me feel alive 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
3987	Cut my hair today and now it's short like before but at least I don't look all shaggy jajajj	Cut my hair today and now it 's short like before but at least I do n't look all shaggy jajajj 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
3988	Finally got the head light I needed for my car and I learned how to install it too jajajaja	Finally got the head light I needed for my car and I learned how to install it too jajajaja 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
3989	Feels good waking up and knowing I dunt have to go to work today	Feels good waking up and knowing I dunt have to go to work today 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
3990	@yveettt lol shut up!!! There was alcohol involved	@yveettt lol shut up !!! There was alcohol involved 	other lang1 lang1 lang1 other lang1 lang1 lang1 lang1 
3991	would you let me take you out? Nice dinner, maybe a little music and dance or even just a movie? I feel like doing something nice	would you let me take you out ? Nice dinner , maybe a little music and dance or even just a movie ? I feel like doing something nice 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 
3992	Finally I have 2 days of fun work and don't have to go to school or do anything I don't want to :D #feelsgoodman	Finally I have 2 days of fun work and do n't have to go to school or do anything I do n't want to :D #feelsgoodman 	lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 
3993	Yes you are	Yes you are 	lang1 lang1 lang1 
3994	ChoZen.... with a OZen lol	ChoZen .... with a OZen lol 	lang1 other lang1 lang1 lang1 lang1 
3995	@PresshDestiny lol yeav that's true especially now :/ it sucks!!! D:	@PresshDestiny lol yeav that 's true especially now :/ it sucks !!! D: 	other other lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 other other 
3996	@PresshDestiny lol ive never seen you at the mall :p	@PresshDestiny lol ive never seen you at the mall :p 	other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
3997	Time to go to work stop by if yall want lol	Time to go to work stop by if yall want lol 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
3998	@PresshDestiny jajaja where would you go? I doubt you were crazy :p	@PresshDestiny jajaja where would you go ? I doubt you were crazy :p 	other lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 other 
3999	@PresshDestiny jaja why do you get home so late :o	@PresshDestiny jaja why do you get home so late :o 	other other lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
4000	I wake up tired every morning like wtf!!!	I wake up tired every morning like wtf !!! 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
4001	I don't come home till like 12 every night and then I can't even fall asleep till like 2 or 3 in the morning and I wake up like around 10-11	I do n't come home till like 12 every night and then I can n't even fall asleep till like 2 or 3 in the morning and I wake up like around 10-11 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
4002	Sssssssssmokinn!!!!!!	Sssssssssmokinn !!!!!! 	lang1 other 
4003	I need to stop waking up so late	I need to stop waking up so late 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
4004	My dad from the old school teaching me about life so I know what's coming	My dad from the old school teaching me about life so I know what 's coming 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
4005	Late night talks with my pops are always tight, learn some thing new every time	Late night talks with my pops are always tight , learn some thing new every time 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 
4006	@PresshDestiny that's great :D you deserve to be happy lol don't worry about nothing and dunt let anyone hurt you either	@PresshDestiny that 's great :D you deserve to be happy lol do n't worry about nothing and dunt let anyone hurt you either 	other lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
4007	@PresshDestiny lol just don't hurt yourself :p	@PresshDestiny lol just do n't hurt yourself :p 	other lang1 lang1 lang1 lang1 lang1 lang1 other 
4008	@PresshDestiny jajaja okay then never mind you don't need people thinking bad about you for getting them in trouble	@PresshDestiny jajaja okay then never mind you do n't need people thinking bad about you for getting them in trouble 	other other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
4009	@PresshDestiny do it lol	@PresshDestiny do it lol 	other lang1 lang1 lang1 
4010	Seriously is Sunday and I get out of work at midnight -_-	Seriously is Sunday and I get out of work at midnight -_- 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
4011	Almost time to go to work and deal with annoying people all day lol oh well that's retail for ya	Almost time to go to work and deal with annoying people all day lol oh well that 's retail for ya 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
4012	@PresshDestiny jajaja made you laugh :p	@PresshDestiny jajaja made you laugh :p 	other lang1 lang1 lang1 lang1 other 
4013	thats the real reason why we do it aint it, for the love of the money	thats the real reason why we do it aint it , for the love of the money 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 
4014	i wish work didnt take up so much of my time but hey at least im making money right?	i wish work didnt take up so much of my time but hey at least im making money right ? 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
4015	but on the real though, she did have a beautiful smile, why lie? she pretty	but on the real though , she did have a beautiful smile , why lie ? she pretty 	lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 other lang1 lang1 
4016	i just realized a comment i made a few days ago could have been interpreted as me flirting	i just realized a comment i made a few days ago could have been interpreted as me flirting 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
4017	@yveettt =( well that sucks	@yveettt =( well that sucks 	other other lang1 lang1 lang1 
4018	@yveettt what about me :(	@yveettt what about me :( 	other lang1 lang1 lang1 other 
4019	@samsonitekilla ummmm awesome??? Duh!! Lol	@samsonitekilla ummmm awesome ??? Duh !! Lol 	other other lang1 other lang1 other lang1 
4020	And it was all why I drank some whiskey and my dad sipped on some wine #goodassnight	And it was all why I drank some whiskey and my dad sipped on some wine #goodassnight 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
4021	Just bought 10 tickets for the mega millions, if I win I'll give a couple Grand to all my peoples #playtheodds	Just bought 10 tickets for the mega millions , if I win I 'll give a couple Grand to all my peoples #playtheodds 	lang1 lang1 other lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
4022	It was a C but hey at least I passed!!!!	It was a C but hey at least I passed !!!! 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
4023	Just checked and only have one final grade posted on my assist..... and I PASSED CAL2 !!!!!	Just checked and only have one final grade posted on my assist ..... and I PASSED CAL2 !!!!! 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 other 
4024	YEEEESSSSSSS!!!!!!! FUCK YES!!!!!	YEEEESSSSSSS !!!!!!! FUCK YES !!!!! 	lang1 other lang1 lang1 other 
4025	I wish I had the money to flip houses on the side that sounds like a really good way to make money	I wish I had the money to flip houses on the side that sounds like a really good way to make money 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
4026	I'm down to go into business with someone who knows what they're doing	I 'm down to go into business with someone who knows what they 're doing 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
4027	I need to start investing in something that can make me some money	I need to start investing in something that can make me some money 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
4028	And just like that im done with this semester	And just like that im done with this semester 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
4029	@JayRO_trill at least it aint at 8 in the morning jajaj	@JayRO_trill at least it aint at 8 in the morning jajaj 	other lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 other 
4030	@JayRO_trill will do potna at what time are you taking yours???	@JayRO_trill will do potna at what time are you taking yours ??? 	other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
4031	well im as ready as ill ever be for my physics final tomorrow	well im as ready as ill ever be for my physics final tomorrow 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
4032	why isnt there a chipotle in the valley??	why isnt there a chipotle in the valley ?? 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
4033	anyone want to bring me some dry erase markers to the forth floor?? lol i got a study room but dont want to leave it alone	anyone want to bring me some dry erase markers to the forth floor ?? lol i got a study room but dont want to leave it alone 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
4034	I love talking about businesses and making money	I love talking about businesses and making money 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
4035	About to take my cal2 final, pray for me guys ima need it to pass the class	About to take my cal2 final , pray for me guys ima need it to pass the class 	lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
4036	Fuck series and sequences in cal2	Fuck series and sequences in cal2 	lang1 lang1 lang1 lang1 lang1 lang1 
4037	And once I finish my last final on Thursday is straight back to work for the test of the week jajaja	And once I finish my last final on Thursday is straight back to work for the test of the week jajaja 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
4038	Got the next three days of from work so I can finally start studying for finals	Got the next three days of from work so I can finally start studying for finals 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
4039	Burned the tip of my tongue today and now I can't taste any thing at the tip -_-	Burned the tip of my tongue today and now I can n't taste any thing at the tip -_- 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
4040	Real Gs keep their life on cruise control	Real Gs keep their life on cruise control 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
4041	Working from 7 to 5 tomorrow means I got to wake up extra early in the morning to get ready	Working from 7 to 5 tomorrow means I got to wake up extra early in the morning to get ready 	lang1 lang1 other lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
4042	@yveettt I know =') I'm so poetic when it come to drinking lol	@yveettt I know =') I 'm so poetic when it come to drinking lol 	other lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
4043	@yveettt during the break we'll drink together and see who can hang more	@yveettt during the break we 'll drink together and see who can hang more 	other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
4044	@yveettt lol whatever!!! You don't even know I can hang!!!!	@yveettt lol whatever !!! You do n't even know I can hang !!!! 	other lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
4045	@yveettt cant hang!!!! Lol jkjk	@yveettt cant hang !!!! Lol jkjk 	other lang1 lang1 other lang1 lang1 
4046	@yveettt DO ITTTTT!!!!!!	@yveettt DO ITTTTT !!!!!! 	other lang1 lang1 other 
4047	I've been waiting for this check for two weeks jaja #blackfridaymoney	I 've been waiting for this check for two weeks jaja #blackfridaymoney 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
4048	tomorrow's payday at work!!!!	tomorrow 's payday at work !!!! 	lang1 lang1 lang1 lang1 lang1 other 
4049	Today's going to be a good day I can feel it	Today 's going to be a good day I can feel it 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
4050	Mom making potato and egg, I'm about to munch out then head over to the Rec after a few weeks of not going	Mom making potato and egg , I 'm about to munch out then head over to the Rec after a few weeks of not going 	lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
4051	well looks like i got the day off from work today	well looks like i got the day off from work today 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
4052	finally done wi everything except for 2 classes	finally done wi everything except for 2 classes 	lang1 lang1 lang1 lang1 lang1 lang1 other lang1 
4053	I just woke up from the best nap ever man I feel goooooooooood!!!!	I just woke up from the best nap ever man I feel goooooooooood !!!! 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
4054	Went to school took my 3rd physics exam came back home and knocked out	Went to school took my 3rd physics exam came back home and knocked out 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
4055	like when is the last day before finals week supposed to be??	like when is the last day before finals week supposed to be ?? 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
4056	sooooooo.......when does school end??	sooooooo ....... when does school end ?? 	lang1 other lang1 lang1 lang1 lang1 other 
4057	I guess it's time I started studying huh?	I guess it 's time I started studying huh ? 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
4058	Physics exam 3 tomorrow morning and I've done nothing but work this past week	Physics exam 3 tomorrow morning and I 've done nothing but work this past week 	lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
4059	Work at 12 I am not looking forward to it	Work at 12 I am not looking forward to it 	lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 
4060	Time for round two of work	Time for round two of work 	lang1 lang1 lang1 lang1 lang1 lang1 
4061	I sold amidst 3 grand by myself last night jaja getv on my level	I sold amidst 3 grand by myself last night jaja getv on my level 	lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
4062	I hope it's not as crazy as it was lat night when we opened	I hope it 's not as crazy as it was lat night when we opened 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
4063	And I need to go back to work In a couple of hours like FUUUUCK	And I need to go back to work In a couple of hours like FUUUUCK 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
4064	Damn just woke up	Damn just woke up 	lang1 lang1 lang1 lang1 
4065	@jay_rdz94 lol I feel ya!! Ima be working though	@jay_rdz94 lol I feel ya !! Ima be working though 	other lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 
4066	@jay_rdz94 at 8	@jay_rdz94 at 8 	other lang1 other 
4067	@ThatGirlYahs lol ill probly see you once I get out of my second shift at work	@ThatGirlYahs lol ill probly see you once I get out of my second shift at work 	other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
4068	@ThatGirlYahs lol so 12?? :p jkjk	@ThatGirlYahs lol so 12 ?? :p jkjk 	other lang1 lang1 other other other other 
4069	@ThatGirlYahs At what time are yall coming?	@ThatGirlYahs At what time are yall coming ? 	other lang1 lang1 lang1 lang1 lang1 lang1 other 
